t,led,rgb
0.000454916666667,0,#ff0000
0.000485250000000,1,#000000
0.000515250000000,2,#000000
0.000545250000000,3,#000000
0.000575250000000,4,#000000
0.000605333333333,5,#000000
0.000635333333333,6,#000000
0.000665333333333,7,#000000
0.000695333333333,8,#000000
0.000725333333333,9,#000000
0.000755416666667,10,#000000
0.000785416666667,11,#000000
0.000815416666667,12,#000000
0.050904416666667,0,#ff0000
0.050934416666667,1,#ff0000
0.050964416666667,2,#000000
0.050994416666667,3,#000000
0.051024500000000,4,#000000
0.051054500000000,5,#000000
0.051084500000000,6,#000000
0.051114500000000,7,#000000
0.051144500000000,8,#000000
0.051174583333333,9,#000000
0.051204583333333,10,#000000
0.051234583333333,11,#000000
0.051264583333333,12,#000000
0.101358500000000,0,#ff0000
0.101388583333333,1,#ff0000
0.101418583333333,2,#ff0000
0.101448583333333,3,#000000
0.101478583333333,4,#000000
0.101508583333333,5,#000000
0.101538666666667,6,#000000
0.101568666666667,7,#000000
0.101598666666667,8,#000000
0.101628666666667,9,#000000
0.101658666666667,10,#000000
0.101688750000000,11,#000000
0.101718750000000,12,#000000
0.151814583333333,0,#ff0000
0.151844583333333,1,#ff0000
0.151874583333333,2,#ff0000
0.151904583333333,3,#ff0000
0.151934583333333,4,#000000
0.151964666666667,5,#000000
0.151994666666667,6,#000000
0.152024666666667,7,#000000
0.152054666666667,8,#000000
0.152084666666667,9,#000000
0.152114750000000,10,#000000
0.152144750000000,11,#000000
0.152174750000000,12,#000000
0.202263333333333,0,#ff0000
0.202293333333333,1,#ff0000
0.202323333333333,2,#ff0000
0.202353333333333,3,#ff0000
0.202383333333333,4,#ff0000
0.202413416666667,5,#000000
0.202443416666667,6,#000000
0.202473416666667,7,#000000
0.202503416666667,8,#000000
0.202533416666667,9,#000000
0.202563500000000,10,#000000
0.202593500000000,11,#000000
0.202623500000000,12,#000000
0.252712833333333,0,#ff0000
0.252742833333333,1,#ff0000
0.252772833333333,2,#ff0000
0.252802833333333,3,#ff0000
0.252832833333333,4,#ff0000
0.252862916666667,5,#ff0000
0.252892916666667,6,#000000
0.252922916666667,7,#000000
0.252952916666667,8,#000000
0.252982916666667,9,#000000
0.253013000000000,10,#000000
0.253043000000000,11,#000000
0.253073000000000,12,#000000
